carID,Brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage
38637,Mercedes, C Class,2020.0,30999,Automatic,1000.0,Diesel,145.0,64.2,2.0,61.0,4.0,0.0
61006,Opel, Corsa,2019.0,9995,Manual,4366.0,Petrol,150.0,43.5,0.7395338990348711,66.0,3.0,0.0
10585,BMW, 2 Series,2018.0,20981,Manual,15674.0,Petrol,150.0,47.1,1.5,90.0,2.0,0.0
36529,Mercedes, A Class,2018.0,17250,Automatic,16031.0,Diesel,150.0,74.3,1.5,82.0,2.0,0.0
22845,Ford, Focus,2017.0,9299,Manual,39904.0,Petrol,20.0,61.4,1.0,41.0,4.0,0.0
37143,Mercedes, SLK,2011.0,10995,Automatic,40000.0,etrol,200.0,43.5,1.8,41.0,2.0,0.0
59782,Opel, Viva,2016.0,6100,Manual,24285.0,Petrol,20.0,62.8,1.0,81.0,0.0,0.0
66591,, T-Roc,2018.0,23000,Semi-Auto,584.0,Petrol,150.0,41.5,2.0,79.0,1.0,0.0
20716,Ford,Focus,2015.0,13549,Manual,42322.0,Diesel,,,2.0,35.0,2.0,0.0
49313,Skoda, Fabia,2020.0,13990,Manual,3560.0,Petrol,145.0,52.3,1.0,50.0,0.0,0.0
25630,Ford, Ka+,2018.0,8500,Manual,6785.0,Petrol,,47.9,1.2,55.0,4.0,0.0
30275,Ford, EcoSport,2016.0,9990,Manual,14398.0,Petrol,125.0,53.3,1.0,87.0,0.0,0.0
32491,yundai, Tucson,2018.0,12556,Manual,20443.0,Petrol,145.0,44.8,1.6,63.0,4.0,0.0
46419,Mercedes, A Class,2020.0,26500,Semi-Auto,3500.0,Diesel,150.0,56.5,2.0,64.0,3.0,
20315,Ford, EcoSpor,2018.0,14650,Manual,8200.0,Petrol,145.0,51.4,1.0,51.0,0.0,0.0
30317,Ford,,2019.0,9999,Manual,10000.0,Petrol,145.0,47.9,0.0,61.0,3.0,0.0
46368,Mercedes, C Class,2018.0,26748,AUTOMATIC,17970.0,diesel,,,2.1,77.0,1.0,0.0
41358,Mercedes, X-CLASS,2018.0,29490,Automatic,5000.0,Diesel,250.0,35.8,2.3,60.0,3.0,0.0
54783,Toyota, Yaris,2014.0,10490,Automatic,34528.0,Hybrid,0.0,80.7,1.5,79.0,1.0,0.0
44188,Mercedes, CL Class,2020.0,27990,Semi-Auto,999.0,Petrol,145.0,44.8,1.3,72.0,3.0,0.0
8169,BM, 5 Series,2019.0,36875,Semi-Auto,10.0,Diesel,145.0,53.3,3.0,34.0,0.0,0.0
32234,Hyundai, IX20,2017.0,8499,Manual,9870.0,Petrol,125.0,50.4,1.4,55.0,3.0,0.0
31963,Hyundai, i20,2015.0,6499,Manual,48072.0,Petrol,30.0,,1.2,88.0,1.0,0.0
47148,Skoda, Rapid,2016.0,7991,Manual,33395.0,iesel,0.0,67.3,1.6,,3.0,0.0
68669,VW, Golf,2017.0,13750,Manual,19398.0,Petrol,30.0,53.3,1.4,43.0,4.0,0.0
6762,Audi, a1,2016.0,16000,Semi-Auto,25470.0,Petrol,30.0,,1.4,61.0,0.0,0.0
5034,, A3,2016.0,11871,Manual,52519.0,Diesel,20.0,72.4,1.6,60.0,2.0,0.0
19051,Ford, Fiesta,2013.0,6500,Manual,43181.0,Petrol,0.0,65.7,1.0,88.0,0.0,0.0
18960,Ford, Fiesta,2015.0,5991,Manual,61292.0,Petrol,0.0,65.7,1.0,31.0,2.0,0.0
53296,Toyota, Auris,2013.0,6095,Manual,55707.0,Diesel,20.0,67.3,1.4,94.0,1.0,0.0
71770,VW, sharan,2019.0,21779,Manual,14020.0,Diesel,150.0,43.5,2.0,43.0,2.0,0.0
49016,Skoda, Fabia,2016.0,7995,Manual,32456.0,Petrol,20.0,60.1,1.2,47.0,0.0,0.0
33153,, I20,2020.0,13966,MANUAL,3500.0,Petrol,145.0,47.9,1.0,41.0,2.0,0.0
57878,Opel, Adam,2019.0,9995,Manual,9.0,Petrol,145.0,44.8,1.2,51.0,4.0,0.0
41441,Mercedes, A Class,2017.0,13500,Manual,,Diesel,150.0,72.4,1.5,32.0,2.0,0.0
74019,VW, Golf,2017.0,12965,Manual,32000.0,Petrol,150.0,54.3,1.4,97.0,0.0,0.0
38443,Mercedes, C Class,2019.0,37500,Semi-Auto,10261.0,Petrol,,,3.0,74.0,3.0,0.0
27368,Ford, Fiesta,2015.0,5699,Manual,50577.0,Petrol,125.0,54.3,1.2,33.0,0.0,0.0
65702,VW, Passat,2019.0,31799,Semi-Auto,4845.0,Diesel,145.0,37.2,2.0,45.0,1.0,0.0
10359,BMW, X3,2019.0,31196,Automatic,10155.0,Diesel,145.0,54.3,2.0,96.0,3.0,0.0
28739,Ford,,2015.0,7099,Manual,74176.0,Diesel,,,1.5,84.0,2.0,
71982,VW, Golf,2019.0,25499,Semi-Auto,7210.0,Diesel,145.0,49.6,2.0,40.0,1.0,0.0
45193,Mercedes, E Class,2019.0,26995,Automatic,7475.0,Petrol,145.0,42.2,2.0,70.0,2.0,0.0
35726,Mercedes, C Class,2017.0,25092,Automatic,86705.85488462522,Diesel,,,2.1,68.0,2.0,0.0
18282,Ford, EcoSport,2017.0,9815,Manual,20000.0,Petrol,145.0,52.3,1.0,45.0,1.0,0.0
831,Audi, A8,2017.0,38995,Automatic,3338.0,,145.0,,3.0,84.0,0.0,0.0
33940,Hyundai, I20,2017.0,9995,Automatic,19595.0,Petrol,145.0,45.6,1.4,86.0,1.0,0.0
22269,Ford, Fiesta,2017.0,8930,,,Petrol,145.0,54.3,1.2,97.0,0.0,0.0
26899,Ford, Focus,2017.0,9699,Manual,47843.0,petrol,145.0,60.1,1.0,92.0,2.0,0.0
40702,Mercedes, GLS Class,2019.0,67600,Automatic,2010.0,Diesel,145.0,34.0,3.0,52.0,0.0,0.0
25484,Ford, B-MAX,2016.0,9498,Manual,14853.0,Diesel,0.0,74.4,1.5,,1.0,0.0
45233,Mercedes, E Class,2015.0,15999,Semi-Auto,25787.0,Diesel,125.0,,2.1,46.0,2.0,0.0
41801,Mercedes, C Class,2019.0,49499,Semi-Auto,1000.0,Petrol,145.0,29.1,3.0,,2.0,0.0
1520,Audi, A4,2019.0,28000,Automatic,3838.0,Petrol,145.0,40.9,2.0,57.0,4.0,0.0
32416,Hyundai, Kona,2019.0,15498,Manua,15.0,Petrol,145.0,44.1,1.0,39.0,3.0,0.0
34065,Hyundai, I10,2019.0,8690,Manual,2362.0,Petrol,145.0,60.1,1.0,42.0,0.0,0.0
6409,Audi, A1,2016.0,10999,Manual,,Diesel,0.0,76.3,1.6,97.0,3.0,0.0
15878,Ford, Fiesta,2018.0,15000,Manual,22006.0,Petrol,145.0,40.3,1.5,54.0,1.0,0.0
48309,Skoda, Fabia,2017.0,7995,Manual,36200.0,Petrol,20.0,60.1,1.2,32.0,2.0,0.0
27234,Ford, Fiesta,2017.0,8700,Manual,10313.0,Petrol,145.0,64.2,1.1,73.0,3.0,0.0
64964,Opel, Mokka,2016.0,10500,Manual,10481.0,petrol,200.0,40.9,1.6,86.0,0.0,0.0
30833,Ford, Fiesta,2017.0,11795,Manual,14713.0,Petrol,20.0,62.8,1.0,96.0,3.0,0.0
37642,Mercedes, GLC Class,2016.0,23490,Semi-Auto,33622.0,Diesel,125.0,56.5,2.1,81.0,0.0,0.0
63861,Opel, Corsa,2019.0,9994,Manual,1042.0,Petrol,145.0,43.5,1.4,78.0,0.0,0.0
25640,Ford, fiesta,2018.0,9980,Manual,8770.0,PETROL,150.0,64.2,1.1,41.0,4.0,0.0
64434,Opel, Adam,2017.0,8494,Manual,17412.0,Petrol,150.0,52.3,1.4,37.0,2.0,0.0
5924,Audi, A3,2019.0,17995,Manual,7062.0,Diesel,145.0,49.6,1.6,38.0,0.0,0.0
20882,Ford, Focus,2019.0,17498,Automatic,13743.0,Petrol,150.0,51.4,1.0,65.0,3.0,0.0
16700,Ford, S-MAX,2016.0,15800,Manual,29246.0,Diesel,125.0,56.5,2.0,34.0,4.0,0.0
7725,BMW, X2,2019.0,23633,Manual,,Diesel,145.0,53.3,2.0,97.0,2.0,0.0
69932,VW, Golf,2019.0,19950,Semi-Auto,3500.0,Diese,145.0,52.3,2.0,61.0,0.0,0.0
19737,Ford, Focus,2019.0,15360,Manual,10567.0,Petrol,145.0,58.9,1.0,73.0,1.0,0.0
71082,VW, Polo,2018.0,12900,Manual,1500.0,Petro,145.0,60.1,1.0,75.0,1.0,0.0
32428,yundai, I30,2019.0,14990,,1247.0,Petrol,145.0,45.6,1.0,82.0,0.0,0.0
8909,MW, X3,2016.0,20000,,34334.0,diesel,150.0,54.3,2.0,94.0,0.0,0.0
55579,Toyota, Yaris,2019.0,11280,Manual,6065.0,Petrol,145.0,47.9,1.5,,0.0,0.0
57379,Opel, Crossland X,2019.0,13498,Manual,3056.0,Petrol,145.0,47.1,1.2,75.0,4.0,0.0
71677,VW, Tiguan,2019.0,29999,Semi-Auto,669.0,Diesel,145.0,39.8,2.0,42.0,-2.345650000530215,0.0
60798,Opel, Mokka X,2017.0,13995,Semi-Auto,5149.0,Petrol,160.0,43.5,1.4,71.0,3.0,0.0
15550,Ford, Fiesta,2016.0,9500,manual,14879.0,Petrol,0.0,65.7,1.0,97.0,1.0,0.0
45954,Mercedes, E Class,2019.0,28200,Semi-Auto,13615.0,Diesel,145.0,58.9,2.0,93.0,2.0,0.0
3802,Audi, A5,2019.0,26990,Automatic,9000.0,petrol,145.0,39.8,2.0,89.0,3.0,0.0
63868,Opel,,2016.0,8695,Manual,39460.0,Petrol,125.0,50.4,1.4,99.0,1.0,0.0
18144,Ford, Focus,2018.0,15490,anual,12900.0,Petrol,145.0,60.1,1.0,86.0,4.0,0.0
54844,Toyota, Aygo,2017.0,7299,Manual,48238.0,Petrol,0.0,68.9,,80.0,0.0,0.0
71193,VW, Polo,2019.0,12990,Manual,11866.0,Petrol,150.0,48.7,1.0,47.0,2.0,0.0
39488,Mercedes, GLE Class,2017.0,29480,Semi-Auto,27252.0,Diesel,145.0,42.8,3.0,97.0,0.0,0.0
57173,Opel, Corsa,2016.0,7200,Manual,42483.0,Petrol,30.0,55.4,1.4,30.0,2.0,0.0
31898,Hyundai, I10,2017.0,8995,Semi-Auto,23000.0,Petrol,145.0,47.9,1.2,87.0,1.0,0.0
23205,ord, Fiesta,2019.0,14899,Manual,9063.0,Petrol,145.0,58.9,1.0,54.0,1.0,0.0
71648,VW, Golf,2015.0,9883,Manual,25724.0,Diesel,0.0,68.9,1.6,85.0,2.0,0.0
62298,Opel, Mokka,2016.0,9650,Manual,22009.0,DIESEL,20.0,68.9,1.6,36.0,4.0,0.0
35514,Mercedes, C CLASS,2018.0,22998,Semi-Auto,18739.0,diesel,,,2.1,66.0,0.0,0.0
28165,Ford, Focus,2013.0,7300,Manual,,Diesel,20.0,67.3,1.6,96.0,3.0,0.0
56108,Opel, mokka x,2018.0,11540,Manual,32810.0,Petrol,145.0,47.1,1.4,64.0,0.0,0.0
56260,Opel, Zafira,2017.0,14495,Automatic,1000.0,Petrol,200.0,40.9,1.4,81.0,2.0,0.0
16022,Ford, B-MAX,2017.0,9998,Manual,6997.0,Petrol,150.0,47.1,1.4,80.0,0.0,0.0
69616,VW, Passat,2019.0,23790,Semi-Auto,5831.0,Petrol,145.0,40.4,2.0,86.0,3.0,0.0
55572,Toyota, Aygo,2019.0,10195,Manual,2114.0,Petrol,145.0,57.7,1.0,,4.0,0.0
32318,Hyundai, I30,2015.0,7698,Manual,35259.0,Diesel,0.0,78.4,1.6,90.0,2.0,0.0
31084,Ford, Ka+,2018.0,7600,Manual,22199.0,petro,145.0,57.7,1.2,74.0,0.0,0.0
33625,Hyundai, Ioniq,2017.0,17795,Automatic,,Hybrid,135.0,78.5,1.6,54.0,0.0,0.0
68476,VW, Polo,2017.0,9765,Manual,39913.0,Diesel,0.0,83.1,1.4,70.0,3.0,0.0
71503,VW, Tiguan,2016.0,11990,Manual,58874.0,Diese,145.0,53.3,2.0,30.0,0.0,0.0
18304,Ford,,2016.0,9632,Manual,18814.0,Petrol,20.0,62.8,1.0,74.0,,0.0
24628,Ford, Focus,2018.0,14500,Automatic,22587.0,Petrol,,,1.0,69.0,4.0,0.0
12492,BMW, 5 Series,2019.0,26350,Semi-Auto,9334.0,Diesel,145.0,65.7,2.0,50.0,4.0,0.0
16873,Ford, Fiesta,2019.0,12850,Manual,5.0,Petrol,145.0,48.7,1.1,39.0,4.0,0.0
15147,Ford, S-MAX,2016.0,14120,Manual,42750.0,Diese,125.0,56.5,2.0,70.0,2.0,0.0
67275,VW, Passat,2018.0,18900,Manual,18000.0,Diesel,145.0,68.9,2.0,44.0,4.0,0.0
26249,Ford, Fiesta,2017.0,8242,Manual,21211.0,Petrol,0.0,65.7,1.0,71.0,4.0,0.0
55024,Toyot, Yaris,2017.0,10795,unknown,12091.0,Petrol,145.0,58.9,1.5,36.0,0.0,0.0
17746,Ford, Focus,2014.0,6999,Manual,41633.0,Petrol,,,1.0,54.0,1.0,0.0
6010,udi, A6,2019.0,29896,Semi-Auto,3411.0,Diesel,145.0,47.9,2.0,31.0,2.0,0.0
29117,Ford, Mondeo,2017.0,15250,Manual,19652.0,DIESEL,30.0,62.8,2.0,80.0,0.0,0.0
37454,Mercedes, C Class,2019.0,25249,Semi-Auto,1729.0,Petrol,145.0,45.6,1.5,59.0,0.0,0.0
69708,VW, Polo,2020.0,19950,Semi-Auto,2000.0,Petrol,150.0,46.3,1.0,55.0,3.0,0.0
10205,BMW, 3 Series,2014.0,10399,Manual,47059.0,Diesel,,61.4,2.0,69.0,3.0,0.0
23761,Ford, Focus,2015.0,11490,unknown,45000.0,Diesel,,,2.0,62.0,1.0,0.0
46204,Mercedes, C Class,2019.0,66699,Semi-Auto,630.0,Petrol,-56.19320153940018,28.5,4.0,32.0,2.0,0.0
48361,Skoda, Yeti Outdoor,2016.0,11495,Semi-Auto,28600.0,Petrol,,51.4,1.2,31.0,3.0,0.0
17284,Ford, Focus,2019.0,15690,Manual,10000.0,Diesel,,,1.5,80.0,0.0,0.0
15717,Ford, Fiesta,2018.0,10491,Manual,6522.0,Petrol,145.0,65.7,1.0,125.10995148245617,3.0,0.0
68520,VW, Polo,2017.0,11699,anual,27500.0,Petrol,150.0,65.7,1.0,55.0,4.0,0.0
27210,Ford, Focus,2012.0,6295,Manual,68000.0,Diese,,,1.6,,4.0,0.0
11384,BMW, X1,2016.0,18500,Automatic,27000.0,Diesel,145.0,55.4,2.0,38.0,3.0,0.0
68060,VW, Polo,2019.0,12995,Manual,2643.0,Petrol,145.0,52.3,1.0,81.0,2.0,0.0
45338,, CL Class,2020.0,54995,Semi-Auto,,Petrol,145.0,33.2,2.0,61.0,4.0,0.0
3886,Audi, Q3,2015.0,14290,Automatic,18693.0,Diesel,145.0,55.4,2.0,3.11529529741442,1.0,0.0
49397,Skoda, Fabia,2020.0,14257,Manual,2777.0,Petrol,150.0,51.4,1.0,43.0,0.0,0.0
2888,Audi, TT,2016.0,17700,Manual,33538.0,Diesel,30.0,61.4,2.0,82.0,2.0,0.0
74010,VW, Polo,2019.0,12998,Manual,9790.0,Petrol,150.0,48.7,1.0,38.0,0.0,0.0
31112,Ford, Focus,2019.0,30359,Manual,2068.0,Petrol,,,2.3,96.0,3.0,0.0
49731,Skoda, Octavia,,11990,Manual,35650.0,,30.0,55.4,1.4,68.0,3.0,0.0
44665,Mercedes, A Class,2019.0,22995,Semi-Auto,10231.0,Petrol,145.0,53.3,1.3,67.0,3.0,0.0
36961,Mercedes, C Class,2016.0,38349,Semi-Auto,22000.0,PETROL,300.0,34.5,4.0,96.0,1.0,0.0
70234,VW, T-Roc,2020.0,27490,Manual,3001.0,Petrol,145.0,42.2,1.5,83.0,2.0,0.0
65285,Opel,,2016.0,6999,Manual,45367.0,Petrol,30.0,55.4,1.4,41.0,2.0,0.0
3855,Audi, A5,2020.0,30000,Semi-Auto,1000.0,Diesel,145.0,50.4,2.0,79.0,0.0,0.0
45374,Mercedes, C Class,2019.0,32998,Semi-Auto,4500.0,Petrol,145.0,42.2,2.0,60.0,3.0,0.0
74719,VW, Golf,2019.0,17298,Manual,8452.0,Petrol,145.0,47.1,1.5,61.0,1.0,0.0
20346,Ford, Focus,2017.0,12750,Manual,3640.0,Petrol,,,1.0,90.0,4.0,0.0
66712,,POLO,2016.0,8650,Manual,32800.0,Petrol,20.0,60.1,1.0,54.0,4.0,0.0
38604,Mercedes, E Class,,34980,Semi-Auto,4196.0,diesel,145.0,70.6,2.0,44.0,1.0,0.0
3425,Audi, Q3,2013.0,13895,Automatic,42000.0,Diesel,205.0,47.9,2.0,70.0,0.0,0.0
11200,BMW, 4 Series,2019.0,23591,Semi-Auto,6100.0,Petrol,145.0,45.6,2.0,125.5694985978357,2.0,0.0
20589,Ford, Fiesta,2017.0,11998,Manual,8966.0,Petrol,145.0,65.7,1.0,66.0,0.0,0.0
6916,Audi, A4,2017.0,14650,manual,40583.0,Petrol,,51.4,1.4,36.0,0.0,0.0
57086,Opel, INSIGNIA,2017.0,7695,Manual,51840.0,DIESEL,0.0,74.3,,76.0,2.0,0.0
49135,Skoda, Scala,2020.0,17000,Manual,731.0,Petrol,150.0,50.4,1.0,88.0,,0.0
34990,Mercedes, S Class,2017.0,36890,Automatic,22657.0,Hybrid,20.0,61.4,2.1,54.0,4.0,0.0
21923,Ford, fiesta,2016.0,10940,Automatic,14260.0,Petrol,0.0,57.7,1.0,99.0,1.0,0.0
12495,BMW, 1 Series,2017.0,14495,,20031.0,Petrol,30.0,58.9,1.5,81.0,4.0,0.0
42777,Mercedes, C Class,2017.0,32995,Automatic,10750.0,Petrol,260.0,35.3,3.0,54.0,1.0,0.0
37446,Mercedes, C Class,2019.0,27099,Semi-Auto,1059.0,Petrol,145.0,45.6,1.5,87.0,,0.0
16261,Ford, Focus,2018.0,13350,Semi-Auto,8207.0,Petrol,,,1.0,48.0,2.0,0.0
59815,Ope, Mokka,2015.0,8998,Manual,30590.0,Diesel,20.0,68.9,1.6,3.1726830595677384,1.0,0.0
7780,bmw, 1 Series,2015.0,12300,Automatic,32694.0,Diesel,20.0,72.4,1.5,73.0,1.0,0.0
48264,Skoda, Yeti Outdoor,2017.0,14799,Manual,13936.0,Petrol,145.0,51.4,1.2,75.0,0.0,0.0
45681,Mercedes, C Class,2019.0,24950,Automatic,7006.0,Petrol,145.0,47.1,1.5,56.0,3.0,0.0
70925,VW, Up,2018.0,8600,Manual,3980.0,Petrol,145.0,54.3,1.0,65.0,1.0,0.0
47979,Skoda, Kamiq,2019.0,21999,Manual,2000.0,Petrol,145.0,47.1,1.0,83.0,0.0,0.0
44984,Mercedes, C Class,2019.0,28900,Automatic,11530.0,Diesel,145.0,57.7,2.0,49.0,1.0,0.0
69473,VW, T-Roc,2019.0,22795,,4852.0,Diesel,150.0,50.4,1.6,45.0,2.0,0.0
46179,Mercedes, C Class,2017.0,19980,semi-auto,29198.0,Diesel,,,2.1,95.0,0.0,0.0
43627,Mercedes, A Class,2019.0,21990,unknown,120.0,Diesel,145.0,56.5,2.0,49.0,1.0,0.0
71019,VW, Golf,2019.0,22105,Semi-Auto,4924.0,Petrol,145.0,43.5,1.5,68.0,1.0,0.0
20770,Ford, Kuga,2023.1169636020993,16950,Manual,3376.0,Diesel,145.0,54.3,1.5,68.0,1.0,0.0
17973,Ford, Tourneo Connect,2017.0,10998,Manual,16310.0,Petrol,125.0,50.4,1.0,31.0,1.0,0.0
70276,VW, Golf,2016.0,11250,Manual,32043.0,Petrol,30.0,53.3,1.4,69.0,0.0,0.0
1768,Audi, Q3,2020.0,35990,Semi-Auto,6000.0,Diesel,145.0,47.1,2.0,48.0,,
9393,MW, 2 Series,2019.0,17950,Manual,3387.0,Petrol,145.0,42.2,1.5,73.0,0.0,0.0
1272,AUDI, Q7,2017.0,53990,Semi-Auto,30427.0,,145.0,39.2,4.0,78.0,1.0,0.0
37812,Mercedes, E Class,,17165,Automatic,36959.0,Diesel,150.0,53.3,3.0,53.0,0.0,0.0
5047,Audi, A6,2016.0,24990,Automatic,47750.0,Diesel,160.0,52.3,3.0,69.0,2.0,0.0
35140,Mercedes, GLA Class,2019.0,24999,Semi-Auto,1000.0,iesel,145.0,64.2,2.1,70.0,3.0,0.0
45701,Mercedes, C Class,2017.0,17100,Automatic,21388.0,Diesel,30.0,64.2,2.1,93.0,0.0,0.0
65459,VW, Polo,2016.0,7990,Manual,45055.0,Petrol,20.0,60.1,1.0,66.0,4.0,0.0
18938,Ford, S-MAX,2017.0,21000,Semi-Auto,28167.0,Diesel,160.0,51.4,2.0,34.0,4.0,0.0
29130,Ford, EcoSport,2018.0,12500,Manual,10000.0,petrol,150.0,53.3,1.0,75.0,3.0,0.0
28075,Ford, Fiesta,2018.0,12750, Manual ,3445.0,Petrol,145.0,56.5,1.0,50.0,2.0,0.0
56421,Opel, Astra,2018.0,12990,Semi-Auto,7177.0,Petrol,145.0,51.4,1.4,54.0,2.0,0.0
23515,Ford, Fiesta,2018.0,10500,Manual,8363.0,Petrol,145.0,58.9,1.0,94.0,3.0,0.0
21100,Ford, Focus,2019.0,17470,Manua,1120.0,PETROL,,,1.0,68.0,4.0,0.0
71928,VW, Polo,2017.0,10888,Manual,12960.0,Petrol,0.0,65.7,1.0,49.0,2.0,0.0
58183,Opel, Mokka X,2017.0,10299,Manual,24861.0,Petrol,200.0,42.2,1.6,49.0,1.0,0.0
61737,Opel, Astra,2020.0,15690,Manual,100.0,PETROL,145.0,,1.2,47.0,4.0,0.0
67345,VW, Golf,2020.0,32995,Semi-Auto,2131.0,Petrol,145.0,32.8,2.0,48.0,3.0,0.0
21412,Ford, Kuga,2018.0,13500,manual,23393.0,Diesel,145.0,54.3,1.5,65.0,3.0,0.0
14608,BMW, 3 Series,2020.0,43995,Semi-Auto,2252.0,Petrol,145.0,34.9,3.0,86.0,4.0,0.0
71915,V, Golf,2018.0,15561,Manual,34535.0,Petrol,145.0,55.4,1.5,35.0,0.0,0.0
